I(x)	J(y)	bx	by	ix	iy	Distance 
1	1	0.921686	0.549126	0.80166	0.693959	0.188103265694671
2	1	1.00599	0.524395	0.834454	0.6661	0.22249698047614
3	1	1.0961	0.524395	0.888119	0.637312	0.236656597731819
4	1	1.18622	0.524395	0.959671	0.605738	0.240709644696676
5	1	1.27343	0.524395	1.04315	0.580665	0.237055249467292
6	1	1.36645	0.524395	1.14451	0.559306	0.224668959852045
7	1	1.47983	0.524395	1.25184	0.550948	0.22953104781053
8	1	1.60192	0.524395	1.38004	0.538876	0.222352049149541
9	1	1.70076	0.524395	1.47544	0.524946	0.225320673709715
10	1	1.80541	0.524395	1.6424	0.524946	0.16301093123162
11	1	1.99727	0.524395	1.83917	0.524946	0.15810096015205
12	1	2.11936	0.524395	2.02401	0.524946	0.095351592021319
13	1	2.24436	0.515121	2.18798	0.538876	0.061180098275501
14	1	2.3432	0.515121	2.32214	0.530518	0.026088143073051
15	1	2.44203	0.518212	2.48015	0.527732	0.039290772453593
16	1	2.60773	0.530578	2.69779	0.524946	0.090235929784094
17	1	2.71529	0.524395	2.82897	0.524946	0.11368133532379
18	1	2.79959	0.51203	2.95717	0.524946	0.158108442076949
19	1	2.93041	0.521304	3.08835	0.524946	0.157981985567975
20	1	3.04378	0.524395	3.20462	0.524946	0.160840943795416
21	1	3.15715	0.524395	3.31195	0.524946	0.154800980620279
22	1	3.31413	0.518212	3.57133	0.524946	0.257288139555635
23	1	3.40134	0.533669	3.47294	0.524946	0.072129402666319
24	1	3.48564	0.524395	3.64288	0.524946	0.157240965403421
25	1	3.63971	0.527487	3.74424	0.524946	0.104560879783024
26	1	3.7211	0.536761	3.8307	0.532375	0.109687724910311
27	1	3.80831	0.539852	3.91716	0.538876	0.108854375548252
28	1	3.90715	0.542944	3.98573	0.559306	0.080265381354604
1	2	0.905556	0.596332	0.810604	0.701388	0.141607363650341
2	2	1.0144	0.596332	0.864268	0.690244	0.177084954663009
3	2	1.09721	0.596332	0.911969	0.658671	0.195449172425979
4	2	1.19186	0.596332	0.968615	0.628025	0.225483427936511
5	2	1.28177	0.596332	1.05507	0.610381	0.227134903528718
6	2	1.36932	0.596332	1.13259	0.588094	0.236873294281985
7	2	1.48289	0.589489	1.24588	0.588094	0.237014105329198
8	2	1.60593	0.589489	1.36215	0.57695	0.244102263244322
9	2	1.69112	0.589489	1.48439	0.57695	0.207109921107126
10	2	1.79759	0.589489	1.65134	0.57695	0.146786542370205
11	2	1.97505	0.580936	1.83917	0.57695	0.135938451499198
12	2	2.11939	0.580936	2.02997	0.57695	0.089508796193447
13	2	2.23533	0.580081	2.185	0.57695	0.050427294801526
14	2	2.33944	0.577515	2.35196	0.577879	0.012525290256118
15	2	2.46011	0.577515	2.49804	0.569521	0.038763242072871
16	2	2.60681	0.580936	2.70077	0.567664	0.094892716179905
17	2	2.72275	0.580936	2.82599	0.566735	0.10421212022121
18	2	2.80557	0.580936	2.94524	0.561163	0.141062682623718
19	2	2.93807	0.580936	3.08835	0.564878	0.151135494719143
20	2	3.05401	0.582527	3.21655	0.562092	0.163819537372683
21	2	3.15812	0.582527	3.32686	0.562092	0.169972870850027
22	2	3.32375	0.582527	3.59518	0.578807	0.271455490458381
23	2	3.4113	0.582527	3.49977	0.576022	0.088708826646507
24	2	3.49648	0.582527	3.67865	0.579736	0.182191378997471
25	2	3.63372	0.582527	3.74424	0.578807	0.110582588141171
26	2	3.73073	0.582527	3.84561	0.586237	0.114939890812546
27	2	3.80881	0.582527	3.92909	0.583451	0.120283549066362
28	2	3.92239	0.582527	3.99766	0.587165	0.075412757170124
1	3	0.907922	0.658771	0.813585	0.709746	0.107228355363682
2	3	1.00257	0.658771	0.870231	0.696745	0.137679466867794
3	3	1.10195	0.658771	0.920913	0.675386	0.181797837154351
4	3	1.19659	0.658771	0.986503	0.646598	0.21043937249954
5	3	1.26994	0.658771	1.05806	0.646598	0.212229395534643
6	3	1.36932	0.651928	1.13557	0.627097	0.235065184706285
7	3	1.49709	0.651928	1.25184	0.627097	0.246503835793685
8	3	1.58701	0.64423	1.35321	0.610381	0.236237581263016
9	3	1.68402	0.64423	1.47842	0.602952	0.209702725981328
10	3	1.79759	0.64423	1.63644	0.602952	0.166352624818486
11	3	1.97742	0.64423	1.84513	0.602952	0.138580364352241
12	3	2.13595	0.638243	2.03295	0.602952	0.108878164390295
13	3	2.25899	0.636532	2.21482	0.624311	0.045829485497876
14	3	2.33707	0.643375	2.35792	0.627097	0.026451763343868
15	3	2.43882	0.653639	2.50401	0.610381	0.07823676031125
16	3	2.60918	0.662192	2.70674	0.594594	0.11869053544407
17	3	2.72512	0.655349	2.81705	0.602952	0.105813848380068
18	3	2.8032	0.653639	2.95717	0.602952	0.162098528275244
19	3	2.95227	0.652783	3.1122	0.602952	0.167513382931036
20	3	3.06585	0.655349	3.23443	0.594594	0.179193712013006
21	3	3.15576	0.65706	3.33878	0.593666	0.19368820210844
22	3	3.32139	0.657915	3.58325	0.610381	0.266139325835172
23	3	3.42787	0.659626	3.49977	0.602952	0.091550817997438
24	3	3.51778	0.662192	3.6548	0.610381	0.146488429990221
25	3	3.64555	0.663903	3.74424	0.610381	0.112268965364432
26	3	3.7331	0.663903	3.84263	0.602952	0.125346899845987
27	3	3.82301	0.670745	3.92611	0.610381	0.119471429622316
28	3	3.93185	0.668179	3.99468	0.627097	0.075068899179354
1	4	0.955245	0.731559	0.777809	0.742248	0.177757668799408
2	4	1.01676	0.731559	0.858305	0.726461	0.158536988204646
3	4	1.09485	0.731559	0.917932	0.706031	0.178750265756446
4	4	1.18949	0.731559	0.998428	0.69303	0.194908110875356
5	4	1.28887	0.731559	1.07892	0.681887	0.215745938742772
6	4	1.37169	0.721637	1.17433	0.670743	0.20381650776127
7	4	1.48289	0.721637	1.25482	0.656813	0.237103512998015
8	4	1.59884	0.721637	1.34725	0.644741	0.263078929061223
9	4	1.67692	0.711716	1.47842	0.644741	0.209494392824724
10	4	1.78576	0.711716	1.6424	0.670743	0.149100222431088
11	4	1.97269	0.711716	1.84513	0.656813	0.138873658441765
12	4	2.13832	0.711716	2.05084	0.644741	0.110174411843223
13	4	2.26372	0.703211	2.22972	0.670743	0.047012456051562
14	4	2.35837	0.704629	2.37283	0.6661	0.041153073287423
15	4	2.45775	0.707463	2.51891	0.654956	0.080607261763442
16	4	2.60918	0.72022	2.69779	0.644741	0.116399362287772
17	4	2.71802	0.710298	2.83493	0.656813	0.128563576976529
18	4	2.81503	0.710298	2.94823	0.663314	0.14124353527153
19	4	2.95937	0.707463	3.10922	0.656813	0.158178522562325
20	4	3.06821	0.71455	3.23145	0.644741	0.17754040126405
21	4	3.16759	0.71455	3.34176	0.656813	0.183490463155446
22	4	3.33322	0.727307	3.55344	0.670743	0.227368279441087
23	4	3.4255	0.724472	3.50275	0.644741	0.111016191886589
24	4	3.50122	0.727307	3.62201	0.670743	0.133378072395728
25	4	3.64318	0.72589	3.72337	0.670743	0.097322287832747
26	4	3.72363	0.735811	3.82176	0.656813	0.125976906232849
27	4	3.82774	0.745733	3.92312	0.656813	0.130399811349557
28	4	3.92712	0.741481	3.99169	0.670743	0.095776560514565
1	5	0.938682	0.819438	0.819485	0.833087	0.119975914291161
2	5	1.01203	0.819438	0.89415	0.808869	0.118352854469168
3	5	1.08302	0.819438	0.954585	0.79194	0.131345685993108
4	5	1.19896	0.819438	1.03092	0.767044	0.176018671839098
5	5	1.27467	0.819438	1.11044	0.748123	0.179045586723047
6	5	1.36932	0.819438	1.1836	0.748123	0.198941568368705
7	5	1.48289	0.819438	1.2504	0.712272	0.256000296202954
8	5	1.57044	0.819438	1.35218	0.712272	0.243150116504187
9	5	1.66982	0.819438	1.46669	0.712272	0.229665732001968
